"Company","Industry","Country","Sales","Profits","Assets","Market Value","CDP Score 2019"
"Microsoft","IT Software & Services","United States",118200,33500,258900,946500,"A"
"Alphabet","IT Software & Services","United States",137000,30700,232800,863200,"A"
"IBM","IT Software & Services","United States",78700,8600,130900,124900,"B"
"Facebook","IT Software & Services","United States",55800,22100,97300,512000,"F"
"Tencent Holdings","IT Software & Services","China",47200,11900,105400,472100,"F"
"Oracle","IT Software & Services","United States",39600,10800,109400,186300,"A-"
"SAP","IT Software & Services","Germany",29100,4800,58900,134900,"B"
"Accenture","IT Software & Services","Ireland",42500,4500,27400,113900,"A"
"Baidu","IT Software & Services","China",15400,4200,43300,59700,"F"
"Tata Consultancy Services","IT Software & Services","India",20900,4500,16600,116100,"A-"
"Salesforce.com","IT Software & Services","United States",13300,1100,30700,120900,"A"
"Adobe","IT Software & Services","United States",9500,2700,19500,132000,"A"
"Cognizant","IT Software & Services","United States",16100,2100,15900,41000,"F"
"VMware","IT Software & Services","United States",9000,2400,14700,77200,"B"
"Infosys","IT Software & Services","India",11600,2200,11900,45100,"A-"
"Capgemini","IT Software & Services","France",15600,861,18900,20900,"A"
"ATOS","IT Software & Services","France",14500,743,24700,11300,"A"
"NetEase","IT Software & Services","China",10100,928,12700,34900,"F"
"Intuit","IT Software & Services","United States",6400,1500,5300,66800,"C"
"Wipro","IT Software & Services","India",8400,1200,11600,24800,"A-"
"HCL Technologies","IT Software & Services","India",8400,1400,8000,21500,"B-"
"CDW","IT Software & Services","United States",16200,643,7200,15400,"F"
"CGI Group","IT Software & Services","Canada",9000,901,9400,19500,"C (Not possbile to access)"
"Meituan Dianping","IT Software & Services","China",9800,-17200,17600,40400,"not requested"
"Twitter","IT Software & Services","United States",3000,1200,10200,26400,"F"
"Samsung SDS","IT Software & Services","South Korea",9100,572,7200,15800,"F"
"Dassault Systemes","IT Software & Services","France",4100,672,9100,39200,"F"
"Check Point Software","IT Software & Services","Israel",1900,821,5800,18700,"F"
"360 Security Technology","IT Software & Services","China",1900,534,4300,25400,"not requested"
"VeriSign","IT Software & Services","United States",1200,582,1900,22300,"F"
"NEXON","IT Software & Services","Japan",2300,975,5900,12500,"F"
"Naver","IT Software & Services","South Korea",5100,590,8900,15200,"not scored (but accessible)"
"Synopsys","IT Software & Services","United States",3200,590,6300,17400,"C"
"Spotify Technology","IT Software & Services","Luxembourg",6200,-92,5000,24800,"not requested "
"Tech Mahindra","IT Software & Services","India",5000,641,4700,11300,"A-"
"ServiceNow","IT Software & Services","United States",2600,-27,3900,42900,"D"
"Workday","IT Software & Services","United States",2800,-418,5500,41700,"submitted (not scored)"
"Citrix Systems","IT Software & Services","United States",3000,576,5100,13200,"F"
"Match Group","IT Software & Services","United States",1700,478,2100,16500,"-"
"SS&C Technologies","IT Software & Services","United States",3400,103,16100,16200,"F"
"Autodesk","IT Software & Services","United States",2600,-81,4700,37100,"A-"
"Square","IT Software & Services","United States",3300,-38,3300,29700,"F"
"Atlassian","IT Software & Services","United Kingdom",1100,-426,2900,24400,"not requested "
"Shopify","IT Software & Services","Canada",1100,-65,2300,24400,"D"
"Ansys","IT Software & Services","United States",1300,419,3300,15700,"F"
"Constellation Software","IT Software & Services","Canada",3100,381,2900,18700,"F"
"MercadoLibre","IT Software & Services","Argentina",1400,-37,2200,22200,"F"
"Adyen","IT Software & Services","Netherlands",2000,155,2100,22200,"F"
"Shanghai Ganglian E-Commerce Holdings","IT Software & Services","China",14400,17,1600,1800,"-"
"Splunk","IT Software & Services","United States",1800,-276,4500,19200,"F"
"Veeva Systems","IT Software & Services","United States",862,230,1700,18700,"F"
"Cadence Design","IT Software & Services","United States",2100,346,2500,17800,"not scored (but accessible)"
"CoStar Group","IT Software & Services","United States",1200,238,3300,17600,"F"
"Nomura Research Institute","IT Software & Services","Japan",4500,450,5300,10900,"A"
"Snap","IT Software & Services","United States",1200,-1300,2700,15900,"not requested "
"Apple","Technology Hardware & Equipment","United States",261700,59400,373700,961300,"A"
"Samsung Electronics","Technology Hardware & Equipment","South Korea",221500,39900,304100,272400,"A-"
"Cisco Systems","Technology Hardware & Equipment","United States",50800,12900,102500,248300,"A"
"Hon Hai Precision","Technology Hardware & Equipment","Taiwan",175600,4300,110000,41200,"D"
"HP","Technology Hardware & Equipment","United States",58700,4200,32500,31500,"A"
"Xiaomi","Technology Hardware & Equipment","China",26400,2100,21200,35700,"F"
"Dell Technologies","Technology Hardware & Equipment","United States",90400,-2300,111800,45200,"B"
"Hewlett Packard Enterprise","Technology Hardware & Equipment","United States",30600,649,51800,22800,"A"
"TE Connectivity","Technology Hardware & Equipment","Switzerland",14400,3000,19200,30300,"C"
