"Company","Company.report","CDP","Deviation","Inconsistency_ratio"
"Microsoft Corporation",17334520,17834520,5e+05,0.0280355176365834
"Alphabet, Inc.",14279467,14279467,NA,NA
"International Business Machines (IBM)",329409,1346702,1017293,0.755395774269289
"Oracle Corporation",NA,1766048,1766048,1
"SAP SE",507299,13352258,12844959,0.962006501072702
"Accenture",948756,948756,NA,NA
"Tata Consultancy Services",NA,708758,708758,1
"Salesforce.com, Inc.",155000,926306,771306,0.832668686157706
"Adobe, Inc.",51101,514044,462943,0.900590221848713
"VMware, Inc",378123,378123,NA,NA
"Infosys Limited",343028,347160,4132,0.011902292890886
"Capgemini SE",338201,743553,405352,0.545155489924726
"Atos SE",NA,5228379,5228379,1
"Intuit Inc.",NA,28459,28459,1
"Wipro",396861,396861,NA,NA
"HCL Technologies",NA,56678,56678,1
"Synopsys, Inc.",45532,45532,NA,NA
"Tech Mahindra",39188,39188,NA,NA
"ServiceNow Inc",NA,26222,26222,1
"Autodesk, Inc.",175045,246382,71337,0.289538196783856
"Shopify Inc",NA,5962,5962,1
"Nomura Research Institute, Ltd.",120711,120711,NA,NA
"Apple Inc.",25070500,25070500,NA,NA
"Samsung Electronics",15908000,38234000,22326000,0.583930533033426
"Cisco Systems, Inc.",NA,39520558,39520558,1
"Hon Hai Precision Industry",NA,NA,NA,NA
"HP Inc",48450000,48450000,NA,NA
"Dell Technologies",17642626,17642626,NA,NA
"Hewlett Packard Enterprise Company",10019299,10019299,NA,NA
"TE Connectivity",23520,23520,NA,NA
"Fujitsu Limited",6105200,6106700,1500,0.000245631846987735
"Murata Mfg. Co.",NA,4437221,4437221,1
"Corning Incorporated",NA,NA,NA,NA
"Western Digital Corp",NA,18131,18131,1
"BOE Technology Group Co.,Ltd.",NA,33887,33887,1
"Nokia Group",44676400,44676400,NA,NA
"Kyocera Corporation",4738391,4738391,NA,NA
"Lenovo Group",15805120,15805120,NA,NA
"Ericsson",32171000,32171000,NA,NA
"Amphenol Corporation",NA,NA,NA,NA
"Seagate Technology PLC",16790400,16790400,NA,NA
"TDK Corporation",22162308,22162308,NA,NA
"Samsung SDI",4947,9881174,9876227,0.999499350988051
"NEC Corporation",5295000,5295000,NA,NA
"NetApp Inc.",NA,65614,65614,1
"Hoya Corporation",NA,NA,NA,NA
