,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reporting inconsistency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IT software & services (ITSS) companies,,,,,,,,,,,,,,,,,,,,,,Technology Hardware & Equipment (THE) companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Company,,Microsoft Corporation,"Alphabet, Inc.",International Business Machines (IBM),Oracle Corporation,SAP SE,Accenture,Tata Consultancy Services,"Salesforce.com, Inc.","Adobe, Inc.","VMware, Inc",Infosys Limited,Capgemini SE,Atos SE,Intuit Inc.,Wipro,HCL Technologies,"Synopsys, Inc.",Tech Mahindra,ServiceNow Inc,"Autodesk, Inc.",Shopify Inc,"Nomura Research Institute, Ltd.",Apple Inc.,Samsung Electronics,"Cisco Systems, Inc.",Hon Hai Precision Industry,HP Inc,Dell Technologies,Hewlett Packard Enterprise Company,TE Connectivity,Fujitsu Limited,Murata Mfg. Co.,Corning Incorporated,Western Digital Corp,"BOE Technology Group Co.,Ltd.",Nokia Group,Kyocera Corporation,Lenovo Group,Ericsson,Amphenol Corporation,Seagate Technology PLC,TDK Corporation,Samsung SDI,NEC Corporation,NetApp Inc.,Hoya Corporation,Pegatron Corporation,"Delta Electronics, Inc.",OMRON Corporation,Flex Ltd.,Compal Electronics,Jabil Inc.,Wistron Corp,Olympus Corporation,Arista Networks,Keysight Technologies Inc,,,,,,,,
,,Scope 3 emissions in CR,t CO2e," 17,334,520 "," 14,279,467 "," 329,409 ", -   ," 507,299 "," 948,756 ", -   ," 155,000 "," 51,101 "," 378,123 "," 343,028 "," 338,201 ", -   , -   ," 396,861 ", -   ," 45,532 "," 39,188 ", -   ," 175,045 ", -   ," 120,711 "," 25,070,500 "," 15,908,000 ", -   , -   ," 48,450,000 "," 17,642,626 "," 10,019,299 "," 23,520 "," 6,105,200 ", -   , -   , -   , -   ," 44,676,400 "," 4,738,391 "," 15,805,120 "," 32,171,000 ", -   ," 16,790,400 "," 22,162,308 "," 4,947 "," 5,295,000 ", -   , -   , -   ," 516,217 ", -   ," 284,363 ", -   ," 60,968 "," 139,157 "," 52,486 "," 1,510,074 ", -   ,,,ITSS,THE,all,ITSS,THE,all
,,Scope 3 emissions in CDP,t CO2e," 17,834,520 "," 14,279,467 "," 1,346,702 "," 1,766,048 "," 13,352,258 "," 948,756 "," 708,758 "," 926,306 "," 514,044 "," 378,123 "," 347,160 "," 743,553 "," 5,228,379 "," 28,459 "," 396,861 "," 56,678 "," 45,532 "," 39,188 "," 26,222 "," 246,382 "," 5,962 "," 120,711 "," 25,070,500 "," 38,234,000 "," 39,520,558 ", -   ," 48,450,000 "," 17,642,626 "," 10,019,299 "," 23,520 "," 6,106,700 "," 4,437,221 ", -   ," 18,131 "," 33,887 "," 44,676,400 "," 4,738,391 "," 15,805,120 "," 32,171,000 ", -   ," 16,790,400 "," 22,162,308 "," 9,881,174 "," 5,295,000 "," 65,614 ", -   , -   ," 609,983 "," 13,521,223 "," 284,363 "," 9,430,744 "," 60,968 "," 139,157 "," 492,539 "," 1,510,074 "," 56,519 ",,Total sample,22,34,56,,,
,,Deviation due to reporting inconsistency,t CO2e," 500,000 ", -   ," 1,017,293 "," 1,766,048 "," 12,844,959 ", -   ," 708,758 "," 771,306 "," 462,943 ", -   ," 4,132 "," 405,352 "," 5,228,379 "," 28,459 ", -   ," 56,678 ", -   , -   ," 26,222 "," 71,337 "," 5,962 ", -   , -   ," 22,326,000 "," 39,520,558 ", -   , -   , -   , -   , -   ," 1,500 "," 4,437,221 ", -   ," 18,131 "," 33,887 ", -   , -   , -   , -   , -   , -   , -   ," 9,876,227 ", -   ," 65,614 ", -   , -   ," 93,765 "," 13,521,223 ", -   ," 9,430,744 ", -   , -   ," 440,053 ", -   ," 56,519 ",,Reporting inconsistency,15,13,28,68%,38%,50%
,,From scope 3,t CO2e," 500,000 ", -   ," 1,017,293 "," 1,766,048 "," 12,844,959 ", -   ," 708,758 "," 771,306 "," 460,559 ", -   ," 4,132 "," 405,352 "," 5,228,379 "," 28,459 ", -   ," 56,678 ", -   , -   ," 26,222 "," 71,337 "," 5,962 ", -   , -   ," 22,326,000 "," 39,520,558 ", -   , -   , -   , -   , -   ," 1,500 "," 4,437,221 ", -   ," 18,131 "," 33,887 ", -   , -   , -   , -   , -   , -   , -   ," 9,876,227 ", -   ," 65,614 ", -   , -   ," 93,765 "," 13,521,223 ", -   ," 9,430,744 ", -   , -   ," 440,053 ", -   ," 56,519 ",,thereof selected emissions in CR,8,5,13,36%,15%,23%
,,Upstream,t CO2e," 500,000 ",," 619,907 "," 1,716,521 "," 1,112,571 ",," 708,758 "," 751,073 "," 460,559 ",," 4,132 "," 405,352 "," 4,327,916 "," 27,529 ",," 56,678 ",,," 26,222 "," 71,337 "," 5,962 ",,," 977,700 "," 1,571,292 ",,,,,,," 4,436,871 ",," 18,131 "," 33,618 ",,,,,,,," 805,276 ",," 65,614 ",,," 93,765 "," 2,659,771 ",," 8,353,590 ",,," 340,625 ",," 45,062 ",,thereof no emissions in CR,7,8,15,32%,24%,27%
